TargetDate,Region,RevenueTarget
2025-02-01,Middle East,23300.0
2025-02-01,Europe,29125.0
2025-02-01,North America,25630.0
2025-02-01,Oceania,9320.0
2025-03-01,East Africa,17550.0
2025-03-01,West Africa,21060.0
2025-03-01,Southern Africa,14040.0
2025-03-01,North Africa,11700.0
2025-03-01,Middle East,23400.0
2025-03-01,Europe,29250.0
2025-03-01,North America,25740.0
2025-03-01,Oceania,9360.0
2025-04-01,East Africa,17625.0
2025-04-01,West Africa,21150.0
2025-04-01,Southern Africa,14100.0
2025-04-01,North Africa,11750.0
2025-04-01,Middle East,23500.0
2025-04-01,Europe,29375.0
2025-04-01,North America,25850.0
2025-04-01,Oceania,9400.0
2025-05-01,East Africa,17700.0
2025-05-01,West Africa,21240.0
2025-05-01,Southern Africa,14160.0
2025-05-01,North Africa,11800.0
2025-05-01,Middle East,23600.0
2025-05-01,Europe,29500.0
2025-05-01,North America,25960.0
2025-05-01,Oceania,9440.0
2025-06-01,East Africa,16886.25
2025-06-01,West Africa,20263.5
2025-06-01,Southern Africa,13509.0
2025-06-01,North Africa,11257.5
2025-06-01,Middle East,22515.0
2025-06-01,Europe,28143.75
2025-06-01,North America,24766.5
2025-06-01,Oceania,9006.0
2025-07-01,East Africa,16957.5
2025-07-01,West Africa,20349.0
2025-07-01,Southern Africa,13566.0
2025-07-01,North Africa,11305.0
2025-07-01,Middle East,22610.0
2025-07-01,Europe,28262.5
2025-07-01,North America,24871.0
2025-07-01,Oceania,9044.0
2025-08-01,East Africa,17925.0
2025-08-01,West Africa,21510.0
2025-08-01,Southern Africa,14340.0
2025-08-01,North Africa,11950.0
2025-08-01,Middle East,23900.0
2025-08-01,Europe,29875.0
2025-08-01,North America,26290.0
2025-08-01,Oceania,9560.0
2025-09-01,East Africa,18000.0
2025-09-01,West Africa,21600.0
2025-09-01,Southern Africa,14400.0
2025-09-01,North Africa,12000.0
2025-09-01,Middle East,24000.0
2025-09-01,Europe,30000.0
2025-09-01,North America,26400.0
2025-09-01,Oceania,9600.0
2025-10-01,East Africa,18075.0
2025-10-01,West Africa,21690.0
2025-10-01,Southern Africa,14460.0
2025-10-01,North Africa,12050.0
2025-10-01,Middle East,24100.0
2025-10-01,Europe,30125.0
2025-10-01,North America,26510.0
2025-10-01,Oceania,9640.0
2025-11-01,East Africa,20872.5
2025-11-01,West Africa,25047.0
2025-11-01,Southern Africa,16698.0
2025-11-01,North Africa,13915.0
2025-11-01,Middle East,27830.0
2025-11-01,Europe,34787.5
2025-11-01,North America,30613.0
2025-11-01,Oceania,11132.0
2025-12-01,East Africa,20958.75
2025-12-01,West Africa,25150.5
2025-12-01,Southern Africa,16767.0
2025-12-01,North Africa,13972.5
2025-12-01,Middle East,27945.0
2025-12-01,Europe,34931.25
2025-12-01,North America,30739.5
2025-12-01,Oceania,11178.0
