OrderID,CustomerID,ProductID,OrderDate,ShipDate,Quantity,GrossRevenue,DiscountPct,NetRevenue,COGS,GrossMargin,LeadTimeDays,ShipMode
ORD-00077,CUST-011,GFV-A002,2023-02-18,2023-02-25,50,449.5,0.05,427.02,160.0,267.02,7,Road
ORD-00078,CUST-008,GFV-A004,2023-02-14,2023-02-19,20,139.8,0.05,132.81,50.0,82.81,5,Sea
ORD-00079,CUST-004,GFV-A002,2023-02-27,2023-03-04,10,89.9,0.15,76.42,32.0,44.42,5,Air
ORD-00080,CUST-004,GFV-O004,2023-02-03,2023-02-09,5,99.95,0,99.95,37.5,62.45,6,Road
ORD-00081,CUST-007,GFV-O002,2023-02-07,2023-02-12,5,149.95,0.2,119.96,50.0,69.96,5,Courier
ORD-00082,CUST-009,GFV-G002,2023-02-09,2023-02-17,10,79.9,0.2,63.92,30.0,33.92,8,Road
ORD-00083,CUST-015,GFV-A003,2023-02-08,2023-02-14,1,9.49,0,9.49,3.5,5.99,6,Sea
ORD-00084,CUST-013,GFV-S004,2023-02-07,2023-02-15,2,17.98,0.1,16.18,7.0,9.18,8,Sea
ORD-00085,CUST-015,GFV-S002,2023-02-15,2023-02-22,20,199.8,0.2,159.84,70.0,89.84,7,Air
ORD-00086,CUST-019,GFV-C004,2023-02-25,2023-03-05,10,179.9,0.15,152.91,70.0,82.91,8,Courier
ORD-00087,CUST-004,GFV-A001,2023-02-13,2023-02-23,20,159.8,0.05,151.81,56.0,95.81,10,Air
ORD-00088,CUST-016,GFV-A002,2023-02-23,2023-03-03,50,449.5,0.1,404.55,160.0,244.55,8,Air
ORD-00089,CUST-013,GFV-C003,2023-02-12,2023-02-17,10,199.9,0,199.9,75.0,124.9,5,Courier
ORD-00090,CUST-008,GFV-O001,2023-02-27,2023-03-04,20,299.8,0.1,269.82,110.0,159.82,5,Sea
ORD-00091,CUST-011,GFV-A003,2023-02-14,2023-02-17,5,47.45,0.1,42.71,17.5,25.21,3,Courier
ORD-00092,CUST-014,GFV-F001,2023-02-15,2023-02-20,5,34.95,0,34.95,15.0,19.95,5,Air
ORD-00093,CUST-005,GFV-O004,2023-02-09,2023-02-18,10,199.9,0.1,179.91,75.0,104.91,9,Road
ORD-00094,CUST-007,GFV-N001,2023-02-01,2023-02-06,5,124.95,0.1,112.45,50.0,62.45,5,Road
ORD-00095,CUST-014,GFV-F001,2023-02-09,2023-02-18,10,69.9,0.05,66.41,30.0,36.41,9,Sea
ORD-00096,CUST-008,GFV-N003,2023-02-03,2023-02-06,20,239.8,0.1,215.82,90.0,125.82,3,Courier
ORD-00097,CUST-002,GFV-S004,2023-02-15,2023-02-23,10,89.9,0,89.9,35.0,54.9,8,Road
ORD-00098,CUST-007,GFV-G002,2023-02-16,2023-02-22,10,79.9,0,79.9,30.0,49.9,6,Courier
ORD-00099,CUST-005,GFV-G002,2023-02-09,2023-02-13,5,39.95,0,39.95,15.0,24.95,4,Sea
ORD-00100,CUST-010,GFV-G002,2023-02-07,2023-02-10,10,79.9,0.1,71.91,30.0,41.91,3,Road
ORD-00101,CUST-006,GFV-O001,2023-02-04,2023-02-12,5,74.95,0,74.95,27.5,47.45,8,Sea
ORD-00102,CUST-001,GFV-F002,2023-02-09,2023-02-10,20,199.8,0,199.8,76.0,123.8,1,Courier
ORD-00103,CUST-012,GFV-N001,2023-02-04,2023-02-13,10,249.9,0,249.9,100.0,149.9,9,Air
ORD-00104,CUST-009,GFV-C003,2023-02-09,2023-02-19,10,199.9,0,199.9,75.0,124.9,10,Air
ORD-00105,CUST-012,GFV-F002,2023-02-05,2023-02-08,2,19.98,0,19.98,7.6,12.38,3,Courier
ORD-00106,CUST-012,GFV-G003,2023-02-20,2023-02-26,10,69.9,0.05,66.41,28.0,38.41,6,Courier
ORD-00107,CUST-020,GFV-F002,2023-02-10,2023-02-19,10,99.9,0,99.9,38.0,61.9,9,Air
ORD-00108,CUST-005,GFV-A004,2023-02-25,2023-02-28,2,13.98,0,13.98,5.0,8.98,3,Air
ORD-00109,CUST-009,GFV-A002,2023-02-06,2023-02-07,10,89.9,0,89.9,32.0,57.9,1,Road
ORD-00110,CUST-016,GFV-C003,2023-02-23,2023-02-27,20,399.8,0.15,339.83,150.0,189.83,4,Sea
ORD-00111,CUST-005,GFV-S001,2023-02-14,2023-02-16,50,649.5,0.1,584.55,225.0,359.55,2,Air
ORD-00112,CUST-007,GFV-G002,2023-02-02,2023-02-05,50,399.5,0.15,339.57,150.0,189.57,3,Courier
ORD-00113,CUST-007,GFV-O002,2023-02-04,2023-02-09,50,1499.5,0.05,1424.52,500.0,924.52,5,Courier
ORD-00114,CUST-001,GFV-O003,2023-02-15,2023-02-17,20,699.8,0.05,664.81,260.0,404.81,2,Air
ORD-00115,CUST-013,GFV-A001,2023-02-03,2023-02-06,10,79.9,0,79.9,28.0,51.9,3,Road
ORD-00116,CUST-014,GFV-N001,2023-02-19,2023-02-20,10,249.9,0.05,237.41,100.0,137.41,1,Road
ORD-00117,CUST-008,GFV-N001,2023-02-06,2023-02-20,100,2499.0,0.05,2374.05,1000.0,1374.05,14,Courier
ORD-00118,CUST-003,GFV-S002,2023-02-11,2023-02-15,5,49.95,0.1,44.96,17.5,27.46,4,Road
ORD-00119,CUST-016,GFV-N003,2023-02-22,2023-03-04,1,11.99,0,11.99,4.5,7.49,10,Road
ORD-00120,CUST-015,GFV-N002,2023-02-11,2023-02-13,50,449.5,0,449.5,175.0,274.5,2,Courier
ORD-00121,CUST-011,GFV-A002,2023-02-14,2023-02-16,20,179.8,0.05,170.81,64.0,106.81,2,Air
ORD-00122,CUST-004,GFV-F002,2023-02-07,2023-02-11,10,99.9,0.1,89.91,38.0,51.91,4,Air
ORD-00123,CUST-012,GFV-S004,2023-02-01,2023-02-13,20,179.8,0,179.8,70.0,109.8,12,Air
ORD-00124,CUST-005,GFV-C004,2023-02-18,2023-02-23,10,179.9,0,179.9,70.0,109.9,5,Sea
ORD-00125,CUST-006,GFV-G001,2023-02-16,2023-02-26,5,69.95,0.1,62.96,25.0,37.96,10,Courier
ORD-00126,CUST-004,GFV-S003,2023-02-08,2023-02-13,50,599.5,0.05,569.52,200.0,369.52,5,Sea
ORD-00127,CUST-015,GFV-O003,2023-02-28,2023-03-02,5,174.95,0.1,157.45,65.0,92.45,2,Road
ORD-00128,CUST-014,GFV-A001,2023-02-27,2023-02-28,10,79.9,0.1,71.91,28.0,43.91,1,Sea
ORD-00129,CUST-007,GFV-N003,2023-02-15,2023-02-20,20,239.8,0,239.8,90.0,149.8,5,Road
ORD-00130,CUST-013,GFV-A001,2023-02-28,2023-03-03,10,79.9,0.15,67.92,28.0,39.92,3,Courier
ORD-00131,CUST-009,GFV-O002,2023-02-02,2023-02-06,10,299.9,0.1,269.91,100.0,169.91,4,Sea
ORD-00132,CUST-004,GFV-A001,2023-02-16,2023-02-28,5,39.95,0,39.95,14.0,25.95,12,Courier
ORD-00133,CUST-009,GFV-G002,2023-02-04,2023-02-09,2,15.98,0.15,13.58,6.0,7.58,5,Sea
ORD-00134,CUST-019,GFV-F003,2023-02-03,2023-02-08,20,159.8,0,159.8,64.0,95.8,5,Air
ORD-00135,CUST-013,GFV-N003,2023-02-28,2023-03-04,10,119.9,0,119.9,45.0,74.9,4,Courier
ORD-00136,CUST-012,GFV-S004,2023-02-28,2023-03-05,20,179.8,0.15,152.83,70.0,82.83,5,Sea
ORD-00137,CUST-019,GFV-G003,2023-02-24,2023-02-26,20,139.8,0.15,118.83,56.0,62.83,2,Courier
ORD-00138,CUST-018,GFV-C002,2023-02-06,2023-02-13,5,114.95,0,114.95,42.5,72.45,7,Road
ORD-00139,CUST-005,GFV-O003,2023-02-12,2023-02-17,10,349.9,0.1,314.91,130.0,184.91,5,Sea
ORD-00140,CUST-017,GFV-A002,2023-02-06,2023-02-08,20,179.8,0.05,170.81,64.0,106.81,2,Sea
ORD-00141,CUST-005,GFV-F001,2023-02-08,2023-02-13,20,139.8,0.15,118.83,60.0,58.83,5,Courier
ORD-00142,CUST-004,GFV-O004,2023-02-10,2023-02-17,50,999.5,0.2,799.6,375.0,424.6,7,Road
ORD-00143,CUST-013,GFV-O004,2023-02-21,2023-03-05,50,999.5,0,999.5,375.0,624.5,12,Courier
ORD-00144,CUST-005,GFV-A001,2023-02-28,2023-03-05,10,79.9,0,79.9,28.0,51.9,5,Road
ORD-00145,CUST-013,GFV-F001,2023-02-01,2023-02-13,1,6.99,0.15,5.94,3.0,2.94,12,Air
ORD-00146,CUST-016,GFV-F002,2023-02-20,2023-02-27,20,199.8,0,199.8,76.0,123.8,7,Road
ORD-00147,CUST-013,GFV-A004,2023-02-08,2023-02-14,20,139.8,0.1,125.82,50.0,75.82,6,Sea
ORD-00148,CUST-013,GFV-C002,2023-02-21,2023-02-23,5,114.95,0.05,109.2,42.5,66.7,2,Road
ORD-00149,CUST-018,GFV-F003,2023-02-24,2023-02-27,20,159.8,0,159.8,64.0,95.8,3,Sea
ORD-00150,CUST-019,GFV-N002,2023-02-26,2023-03-03,10,89.9,0,89.9,35.0,54.9,5,Sea
ORD-00151,CUST-019,GFV-F002,2023-02-09,2023-02-19,20,199.8,0,199.8,76.0,123.8,10,Air
ORD-00152,CUST-004,GFV-S004,2023-02-15,2023-02-27,50,449.5,0.1,404.55,175.0,229.55,12,Courier
ORD-00153,CUST-011,GFV-C003,2023-03-31,2023-04-08,20,399.8,0,399.8,150.0,249.8,8,Air
ORD-00154,CUST-014,GFV-F001,2023-03-15,2023-03-19,10,69.9,0.1,62.91,30.0,32.91,4,Road
ORD-00155,CUST-009,GFV-A002,2023-03-04,2023-03-11,50,449.5,0.05,427.02,160.0,267.02,7,Sea
ORD-00156,CUST-016,GFV-G001,2023-03-21,2023-03-23,5,69.95,0.05,66.45,25.0,41.45,2,Sea
ORD-00157,CUST-007,GFV-N001,2023-03-02,2023-03-12,2,49.98,0,49.98,20.0,29.98,10,Sea
ORD-00158,CUST-013,GFV-G002,2023-03-13,2023-03-18,20,159.8,0.05,151.81,60.0,91.81,5,Sea
ORD-00159,CUST-002,GFV-N001,2023-03-29,2023-04-03,20,499.8,0.15,424.83,200.0,224.83,5,Road
ORD-00160,CUST-005,GFV-O004,2023-03-02,2023-03-09,100,1999.0,0.15,1699.15,750.0,949.15,7,Air
ORD-00161,CUST-018,GFV-A003,2023-03-22,2023-03-26,10,94.9,0,94.9,35.0,59.9,4,Sea
ORD-00162,CUST-016,GFV-O004,2023-03-31,2023-04-02,2,39.98,0,39.98,15.0,24.98,2,Air
ORD-00163,CUST-005,GFV-S001,2023-03-02,2023-03-10,20,259.8,0,259.8,90.0,169.8,8,Sea
ORD-00164,CUST-017,GFV-F003,2023-03-19,2023-03-22,20,159.8,0.1,143.82,64.0,79.82,3,Air
ORD-00165,CUST-004,GFV-S001,2023-03-09,2023-03-18,10,129.9,0.1,116.91,45.0,71.91,9,Air
ORD-00166,CUST-004,GFV-O001,2023-03-22,2023-03-31,20,299.8,0,299.8,110.0,189.8,9,Road
ORD-00167,CUST-001,GFV-G002,2023-03-01,2023-03-04,10,79.9,0,79.9,30.0,49.9,3,Air
ORD-00168,CUST-008,GFV-A001,2023-03-16,2023-03-21,2,15.98,0.05,15.18,5.6,9.58,5,Air
ORD-00169,CUST-017,GFV-N002,2023-03-24,2023-04-01,5,44.95,0.05,42.7,17.5,25.2,8,Air
ORD-00170,CUST-016,GFV-O003,2023-03-02,2023-03-16,20,699.8,0.05,664.81,260.0,404.81,14,Courier
ORD-00171,CUST-007,GFV-S001,2023-03-03,2023-03-12,2,25.98,0,25.98,9.0,16.98,9,Road
ORD-00172,CUST-011,GFV-O004,2023-03-13,2023-03-27,10,199.9,0.05,189.91,75.0,114.91,14,Air
ORD-00173,CUST-017,GFV-N003,2023-03-28,2023-04-03,20,239.8,0,239.8,90.0,149.8,6,Courier
ORD-00174,CUST-007,GFV-O004,2023-03-29,2023-04-01,10,199.9,0.1,179.91,75.0,104.91,3,Road
ORD-00175,CUST-005,GFV-S001,2023-03-14,2023-03-18,20,259.8,0.05,246.81,90.0,156.81,4,Air
ORD-00176,CUST-008,GFV-G002,2023-03-27,2023-03-29,20,159.8,0.1,143.82,60.0,83.82,2,Air
ORD-00177,CUST-012,GFV-A004,2023-03-19,2023-03-29,2,13.98,0,13.98,5.0,8.98,10,Courier
ORD-00178,CUST-001,GFV-F002,2023-03-28,2023-04-07,20,199.8,0,199.8,76.0,123.8,10,Sea
ORD-00179,CUST-005,GFV-C004,2023-03-05,2023-03-11,10,179.9,0.05,170.91,70.0,100.91,6,Air
ORD-00180,CUST-005,GFV-O003,2023-03-25,2023-03-29,50,1749.5,0.2,1399.6,650.0,749.6,4,Air
ORD-00181,CUST-016,GFV-F001,2023-03-20,2023-03-30,1,6.99,0,6.99,3.0,3.99,10,Road
ORD-00182,CUST-001,GFV-S001,2023-03-30,2023-04-03,10,129.9,0.05,123.41,45.0,78.41,4,Sea
ORD-00183,CUST-001,GFV-G002,2023-03-24,2023-03-30,10,79.9,0,79.9,30.0,49.9,6,Courier
ORD-00184,CUST-007,GFV-F003,2023-03-11,2023-03-14,20,159.8,0.05,151.81,64.0,87.81,3,Air
ORD-00185,CUST-004,GFV-A002,2023-03-29,2023-03-31,1,8.99,0,8.99,3.2,5.79,2,Courier
ORD-00186,CUST-012,GFV-O003,2023-03-22,2023-03-27,5,174.95,0.1,157.45,65.0,92.45,5,Air
ORD-00187,CUST-006,GFV-A004,2023-03-12,2023-03-17,10,69.9,0.05,66.41,25.0,41.41,5,Road
ORD-00188,CUST-020,GFV-C002,2023-03-02,2023-03-05,1,22.99,0,22.99,8.5,14.49,3,Sea
ORD-00189,CUST-005,GFV-F003,2023-03-25,2023-03-28,2,15.98,0.05,15.18,6.4,8.78,3,Courier
ORD-00190,CUST-011,GFV-S004,2023-03-06,2023-03-08,10,89.9,0.1,80.91,35.0,45.91,2,Road
ORD-00191,CUST-014,GFV-O003,2023-03-03,2023-03-07,1,34.99,0.15,29.74,13.0,16.74,4,Road
ORD-00192,CUST-008,GFV-A003,2023-03-19,2023-03-24,10,94.9,0,94.9,35.0,59.9,5,Air
ORD-00193,CUST-016,GFV-A002,2023-03-31,2023-04-04,10,89.9,0.1,80.91,32.0,48.91,4,Road
ORD-00194,CUST-003,GFV-O003,2023-03-03,2023-03-08,10,349.9,0.05,332.4,130.0,202.4,5,Courier
ORD-00195,CUST-007,GFV-F003,2023-03-28,2023-04-01,20,159.8,0,159.8,64.0,95.8,4,Air
ORD-00196,CUST-018,GFV-O001,2023-03-17,2023-03-22,10,149.9,0.2,119.92,55.0,64.92,5,Sea
ORD-00197,CUST-005,GFV-S002,2023-03-08,2023-03-10,20,199.8,0.1,179.82,70.0,109.82,2,Air
ORD-00198,CUST-013,GFV-O004,2023-03-06,2023-03-16,20,399.8,0.1,359.82,150.0,209.82,10,Courier
ORD-00199,CUST-012,GFV-A003,2023-03-22,2023-04-01,100,949.0,0,949.0,350.0,599.0,10,Road
ORD-00200,CUST-009,GFV-A003,2023-03-05,2023-03-10,5,47.45,0,47.45,17.5,29.95,5,Air
ORD-00201,CUST-007,GFV-O004,2023-03-12,2023-03-17,1,19.99,0,19.99,7.5,12.49,5,Road
ORD-00202,CUST-019,GFV-C003,2023-03-03,2023-03-09,20,399.8,0.05,379.81,150.0,229.81,6,Courier
ORD-00203,CUST-015,GFV-C002,2023-03-19,2023-03-25,10,229.9,0.1,206.91,85.0,121.91,6,Sea
ORD-00204,CUST-011,GFV-C002,2023-03-11,2023-03-17,10,229.9,0.1,206.91,85.0,121.91,6,Road
ORD-00205,CUST-013,GFV-C002,2023-03-23,2023-03-25,5,114.95,0.05,109.2,42.5,66.7,2,Courier
ORD-00206,CUST-004,GFV-O001,2023-03-17,2023-03-22,50,749.5,0,749.5,275.0,474.5,5,Road
ORD-00207,CUST-015,GFV-A003,2023-03-22,2023-03-28,5,47.45,0,47.45,17.5,29.95,6,Courier
ORD-00208,CUST-016,GFV-A002,2023-03-10,2023-03-14,50,449.5,0,449.5,160.0,289.5,4,Sea
ORD-00209,CUST-019,GFV-G001,2023-03-30,2023-04-03,20,279.8,0,279.8,100.0,179.8,4,Air
ORD-00210,CUST-013,GFV-F003,2023-03-10,2023-03-16,50,399.5,0.1,359.55,160.0,199.55,6,Air
ORD-00211,CUST-011,GFV-C001,2023-03-21,2023-03-28,10,249.9,0,249.9,90.0,159.9,7,Sea
ORD-00212,CUST-010,GFV-S004,2023-03-11,2023-03-21,100,899.0,0,899.0,350.0,549.0,10,Road
ORD-00213,CUST-011,GFV-N003,2023-03-28,2023-04-05,50,599.5,0.15,509.57,225.0,284.57,8,Air
ORD-00214,CUST-015,GFV-S001,2023-03-22,2023-03-26,10,129.9,0,129.9,45.0,84.9,4,Sea
ORD-00215,CUST-013,GFV-S002,2023-03-27,2023-04-03,20,199.8,0,199.8,70.0,129.8,7,Road
ORD-00216,CUST-019,GFV-A002,2023-03-22,2023-03-29,5,44.95,0.1,40.46,16.0,24.46,7,Courier
ORD-00217,CUST-007,GFV-N001,2023-03-08,2023-03-13,50,1249.5,0,1249.5,500.0,749.5,5,Courier
ORD-00218,CUST-015,GFV-N002,2023-03-15,2023-03-22,10,89.9,0.2,71.92,35.0,36.92,7,Sea
ORD-00219,CUST-017,GFV-C002,2023-03-26,2023-04-01,20,459.8,0.15,390.83,170.0,220.83,6,Air
ORD-00220,CUST-016,GFV-F002,2023-03-23,2023-03-31,2,19.98,0,19.98,7.6,12.38,8,Courier
ORD-00221,CUST-016,GFV-C003,2023-03-29,2023-04-03,50,999.5,0,999.5,375.0,624.5,5,Courier
ORD-00222,CUST-001,GFV-C002,2023-03-29,2023-04-02,10,229.9,0,229.9,85.0,144.9,4,Courier
ORD-00223,CUST-001,GFV-C004,2023-03-03,2023-03-07,50,899.5,0.05,854.52,350.0,504.52,4,Sea
ORD-00224,CUST-018,GFV-N001,2023-03-05,2023-03-06,20,499.8,0,499.8,200.0,299.8,1,Courier
ORD-00225,CUST-018,GFV-C001,2023-03-15,2023-03-21,5,124.95,0.1,112.45,45.0,67.45,6,Courier
ORD-00226,CUST-005,GFV-C004,2023-03-04,2023-03-12,1,17.99,0.05,17.09,7.0,10.09,8,Courier
ORD-00227,CUST-018,GFV-A002,2023-03-03,2023-03-05,10,89.9,0.05,85.41,32.0,53.41,2,Sea
